name,role,amount,country,team
MS Dhoni,WK-Batsman,185000000,India,CSK
Ruturaj Gaikwad,Batsman,60000000,India,CSK
Ambati Rayudu,WK- Batsman,67500000,India,CSK
Devon Conway,Batsman,10000000,New Zealand,CSK
Subhranshu Senapati,Batsman,2000000,India,CSK
Deepak Chahar,Bowler,140000000,India,CSK
Tushar Deshpande,Bowler,2000000,India,CSK
Maheesh Theekshana,Bowler,7000000,Sri Lanka,CSK
Simranjeet Singh,Bowler,2000000,India,CSK
Matheesha Pathirana,Bowler,2000000,Sri Lanka,CSK
Mukesh Choudhary,Bowler,2000000,India,CSK
Prashant Solanki,Bowler,12000000,India,CSK
Mitchell Santner,Bowler,19000000,New Zealand,CSK
Rajvardhan Hangargekar,Bowler,15000000,India,CSK
Ravindra Jadeja,All-rounder,160000000,India,CSK
Moeen Ali,All-rounder,185000000,England,CSK
Shivam Dube,All-rounder,40000000,India,CSK
Dwaine Pretorius,All-rounder,5000000,South Africa,CSK
Ben Stokes,All-rounder,162500000,England,CSK
A Rahane,Batsman,5000000,India,CSK
Kyle Jamieson,Bowler,10000000,New Zealand,CSK
Nishant Sindhu,All-rounder,2000000,India,CSK
Shaik Rasheed,Batsman,2000000,India,CSK
Ajay Mandal,Bowler,2000000,India,CSK
Bhagath Verma,All-rounder,2000000,India,CSK
Rishabh Pant,WT-Batsman,160000000,India,DC
Prithvi Shaw,Batsman,75000000,India,DC
David Warner,Batsman,62500000,Australia,DC
Sarfaraz Khan,Batsman,2000000,India,DC
Yash Dhull,Batsman,5000000,India,DC
Rovman Powell,Batsman,28000000,West Indies,DC
Anrich Nortje,Bowler,65000000,South Africa,DC
Kamlesh Nagarkoti,Bowler,11000000,India,DC
Mustafizur Rahman,Bowler,20000000,Bangladesh,DC
Lungi Ngidi,Bowler,5000000,South Africa,DC
Khaleel Ahmed,Bowler,52500000,India,DC
Chetan Sakariya,Bowler,42000000,India,DC
Praveen Dubey,Bowler,5000000,India,DC
Kuldeep Yadav,Bowler,20000000,India,DC
Axar Patel,All-rounder,90000000,India,DC
Mitchell Marsh,All-rounder,65000000,Australia,DC
Lalit Yadav,All-rounder,6500000,India,DC
Ripal Patel,All-rounder,2000000,India,DC
Vicky Ostwal,All-rounder,2000000,India,DC
Aman Khan,Allrounder,2000000,India,DC
Ishant Sharma,Bowler,5000000,India,DC
Phil Salt,WT-Batsman,20000000,England,DC
Mukesh Kumar,Bowler,55000000,India,DC
Manish Pandey,Batsman,24000000,India,DC
Rilee Rossouw,Batsman,46000000,South Africa,DC
Shubman Gill,Batsman,80000000,India,GT
Sai Sudarshan,Batsman,2000000,India,GT
Abhinav Sadarangani,Batsman,26000000,India,GT
David Miller,Batsman,30000000,South Africa,GT
Matthew Wade,WK-Batsman,24000000,Australia,GT
Wriddhiman Saha,WK-Batsman,19000000,India,GT
Rashid Khan,Bowler,150000000,Afghanistan,GT
Darshan Nalkande,Bowler,2000000,India,GT
Yash Dayal,Bowler,32000000,India,GT
Pradeep Sangwan,Bowler,2000000,India,GT
Alzarri Joseph,Bowler,24000000,West Indies,GT
R Sai Kishore,Bowler,30000000,India,GT
Noor Ahmad,Bowler,3000000,Afghanistan,GT
Mohammed Shami,Bowler,62500000,India,GT
Hardik Pandya,All-rounder,150000000,India,GT
